word,frequency
mcdonalds,8
30th,8
supposedly,8
film,8
heck,8
sandy,8
transfer,8
infestation,8
finger,8
who,8
lowest,8
dealing,8
music,8
tower,8
tough,8
pride,8
whats,8
typical,8
encounter,8
followed,8
animal,8
accept,8
hr,8
figure,8
laundry,8
theft,8
consisted,8
theyd,8
removed,8
hidden,8
appears,8
tolerable,8
fourth,8
0,8
careful,8
realized,8
skin,8
majority,8
visa,8
inconvenience,8
delayed,8
unsanitary,8
disrepair,8
priceline,8
clue,8
button,8
tomorrow,8
usual,8
language,8
operate,8
occupant,8
bowl,8
named,8
dorm,8
touched,8
stick,8
drive,8
sounded,8
cook,8
opportunity,8
107th,8
cathedral,8
recommendation,7
selling,7
february,7
season,7
argue,7
law,7
knocked,7
dim,7
happens,7
solo,7
suit,7
hoped,7
18,7
wise,7
ireland,7
2015,7
minifridge,7
locker,7
mix,7
fuss,7
premise,7
earplug,7
criticism,7
contained,7
penny,7
volume,7
folk,7
21,7
getaway,7
intend,7
afterwards,7
rockefeller,7
eatery,7
settled,7
needing,7
x,7
blew,7
alternate,7
functioning,7
tall,7
assured,7
industry,7
joint,7
condemned,7
doorway,7
revamp,7
retro,7
helpfull,7
address,7
mail,7
account,7
pulling,7
asap,7
dream,7
dilapidated,7
2010,7
invest,7
149,7
continued,7
attending,7
vacuuming,7
11am,7
pricey,7
misleading,7
walkin,7
marble,7
enjoying,7
slight,7
million,7
former,7
bet,7
proper,7
letting,7
prebooked,7
160,7
phoned,7
claimed,7
soda,7
exciting,7
fitted,7
disrespectful,7
consideration,7
regardless,7
activity,7
highlight,7
shelf,7
twenty,7
ease,7
ton,7
equally,7
duane,7
tourism,7
11pm,7
arranged,7
appalling,7
stepping,7
disgusted,7
aside,7
grotty,7
aint,7
porter,7
evidence,7
failed,7
450,7
answering,7
can,7
thursday,7
hook,7
10pm,7
faster,7
chaos,7
tube,7
australia,7
inspected,7
officer,7
seven,7
spare,7
feared,7
supplied,7
renovate,7
treatment,7
10000,7
skeptical,7
direct,7
proceeded,7
join,7
connect,7
honeymoon,7
blame,7
error,7
messy,7
map,7
laying,7
19,7
temp,7
dripping,7
transit,7
shade,7
boast,7
manner,7
sanitary,7
suddenly,7
airline,7
demanded,7
cooking,7
800,7
terribly,7
enormous,7
smoothly,7
unmade,7
rudest,7
oriental,7
sharp,7
rich,7
filty,7
yelling,7
queued,7
island,7
guardia,7
operator,7
1919,7
captain,7
103rd,7
m60,7
canada,6
laid,6
poison,6
3am,6
entirely,6
practical,6
architecture,6
reflect,6
